sms,label,llm1,llm2,llm3,llm4,llm5,llms_prediction,score
K. Did you call me just now ah? ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You will be in the place of that man,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Ela kano.,il download, come wen ur free..",not spam,spam,spam,not spam,not spam,spam,spam,0.6
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,spam,spam,spam,spam,spam,spam,1.0
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam,spam,spam,spam,spam,spam,spam,1.0
i see. When we finish we have loads of loans to pay,not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I'm still looking for a car to buy. And have not gone 4the driving test yet.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Going for dinner.msg you after.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,spam,spam,spam,spam,spam,spam,1.0
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam,spam,spam,spam,spam,spam,spam,1.0
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,spam,spam,spam,spam,spam,spam,1.0
"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,spam,spam,spam,spam,spam,spam,1.0
here is my new address -apples&pairs&all that malarky,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,spam,spam,spam,spam,spam,spam,1.0
I am going to sao mu today. Will be done only at 12 ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
ÌÏ predict wat time Ì_'ll finish buying?,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,not spam,spam,spam,spam,spam,not spam,spam,0.8
I'm home.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,spam,spam,spam,spam,spam,spam,spam,1.0
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,spam,spam,spam,spam,spam,spam,1.0
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,spam,spam,spam,spam,spam,spam,1.0
"K, text me when you're on the way",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,spam,spam,spam,spam,spam,spam,1.0
Sindu got job in birla soft ..,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,not spam,spam,spam,spam,not spam,spam,spam,0.8
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,spam,spam,spam,spam,spam,spam,1.0
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam,spam,spam,spam,spam,spam,spam,1.0
New car and house for my parents.:)i have only new job in hand:),not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,spam,spam,spam,spam,spam,spam,1.0
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam,spam,spam,spam,spam,spam,spam,1.0
I place all ur points on e cultures module already.,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam,spam,spam,spam,spam,spam,spam,1.0
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",not spam,spam,spam,not spam,spam,not spam,spam,0.6
What time you coming down later? ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Well, i'm gonna finish my bath now. Have a good...fine night.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Let me know when you've got the money so carlos can make the call,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
U still going to the mall?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,not spam,not spam,not spam,not spam,spam,not spam,not spam,0.2
Lol no. U can trust me.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,spam,spam,spam,spam,spam,spam,1.0
Have you got Xmas radio times. If not i will get it now,not spam,spam,not spam,not spam,spam,not spam,not spam,0.4
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam,spam,spam,spam,spam,spam,spam,1.0
Hi :)finally i completed the course:),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Found it, ENC  &lt;#&gt; , where you at?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Goodmorning sleeping ga.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
U call me alter at 11 ok.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
"Aight yo, dats straight dogg",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,not spam,spam,spam,spam,spam,spam,spam,1.0
Home so we can always chat,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Tired. I haven't slept well the past few nights.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,not spam,spam,spam,spam,spam,not spam,spam,0.8
"Sorry, I'll call later",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam,spam,spam,spam,spam,spam,spam,1.0
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,spam,spam,spam,spam,spam,spam,1.0
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam,spam,spam,spam,spam,spam,spam,1.0
Or ill be a little closer like at the bus stop on the same street,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,spam,spam,spam,spam,spam,spam,1.0
U don't remember that old commercial?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Too late. I said i have the website. I didn't i have or dont have the slippers,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I asked you to call him now ok,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,spam,spam,spam,spam,spam,spam,1.0
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
Mmm so yummy babe ... Nice jolt to the suzy,not spam,not spam,not spam,spam,spam,not spam,not spam,0.4
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam,spam,spam,spam,spam,spam,spam,1.0
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,not spam,spam,spam,spam,spam,spam,spam,1.0
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam,spam,spam,spam,spam,spam,spam,1.0
Why you Dint come with us.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Not sure yet, still trying to get a hold of him",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam,spam,spam,spam,spam,spam,spam,1.0
The evo. I just had to download flash. Jealous?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam,spam,spam,spam,spam,spam,spam,1.0
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam,spam,spam,spam,spam,spam,spam,1.0
"Usf I guess, might as well take 1 car",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Just sent it. So what type of food do you like?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You got called a tool?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
\Wen u miss someone,not spam,spam,**not spam**,not spam,not spam,not spam,not spam,0.2
Ok. I asked for money how far,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
Okie...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,not spam,spam,spam,spam,spam,not spam,spam,0.8
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam,spam,spam,spam,spam,spam,spam,1.0
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,not spam,spam,not spam,spam,spam,not spam,spam,0.6
Need a coffee run tomo?Can't believe it's that time of week already,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",not spam,not spam,not spam,spam,spam,not spam,not spam,0.4
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam,spam,spam,spam,spam,spam,spam,1.0
Yup... From what i remb... I think should be can book... ,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Jos ask if u wana meet up?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam,spam,spam,spam,spam,spam,spam,1.0
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",spam,spam,spam,spam,spam,spam,spam,1.0
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam,spam,spam,spam,spam,spam,spam,1.0
"Coffee cake, i guess...",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Merry Christmas to you too babe, i love ya *kisses*",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hey... Why dont we just go watch x men and have lunch... Haha ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"I'd say that's a good sign but, well, you know my track record at reading women",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam,spam,spam,spam,spam,spam,spam,1.0
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam,spam,spam,spam,spam,spam,spam,1.0
"Ta-Daaaaa! I am home babe, are you still up ?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Just sleeping..and surfing,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Gudnite....tc...practice going on,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,spam,spam,spam,spam,spam,spam,1.0
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Nah can't help you there, I've never had an iphone",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
If you're not in my car in an hour and a half I'm going apeshit,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,spam,spam,spam,spam,spam,spam,1.0
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam,spam,spam,spam,spam,spam,spam,1.0
Oh ok no prob..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam,spam,spam,spam,spam,spam,spam,1.0
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam,spam,spam,spam,spam,spam,spam,1.0
I will spoil you in bed as well :),not spam,spam,not spam,spam,not spam,spam,spam,0.6
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",spam,spam,spam,spam,spam,spam,spam,1.0
Can you say what happen,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Keep my payasam there if rinu brings,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Hey i will be late ah... Meet you at 945+,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam,spam,spam,spam,spam,spam,spam,1.0
It took Mr owl 3 licks,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,spam,spam,spam,spam,spam,spam,spam,1.0
Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",spam,spam,spam,spam,spam,spam,spam,1.0
Dear how is chechi. Did you talk to her,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Haha get used to driving to usf man, I know a lot of stoners",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Cos i want it to be your thing,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
100 dating service cal;l 09064012103 box334sk38ch,spam,spam,spam,spam,spam,spam,spam,1.0
Alright i have a new goal now,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,spam,spam,spam,spam,spam,spam,spam,1.0
"Alright, I'll head out in a few minutes, text me where to meet you",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,spam,spam,spam,spam,spam,spam,spam,1.0
Yes:)from last week itself i'm taking live call.,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,spam,spam,spam,spam,spam,spam,spam,1.0
